taxon_id	species	target
49402	Abudefduf saxatilis	200
49401	Abudefduf sexfasciatus	200
123922	Abudefduf sordidus	200
92989	Abudefduf troschelii	200
49403	Abudefduf vaigiensis	200
121196	Acanthurus coeruleus	200
135283	Acanthurus lineatus	200
132410	Acanthurus nigrofuscus	200
121704	Acanthurus olivaceus	200
1315888	Acanthurus sandvicensis	200
871060	Acanthurus tractus	200
59931	Acanthurus triostegus	200
132366	Acanthurus xanthopterus	200
49498	Aluterus scriptus	200
136345	Amphiprion clarkii	200
144017	Arothron hispidus	200
83318	Arothron meleagris	200
119385	Arothron nigropunctatus	200
47239	Aulostomus chinensis	200
57743	Balistapus undulatus	200
123392	Balistoides viridescens	200
57333	Bodianus diplotaenia	200
128857	Canthigaster rostrata	200
129549	Canthigaster valentini	200
123690	Caranx melampygus	200
82330	Caranx ruber	200
67964	Carcharhinus melanopterus	200
52456	Cephalopholis argus	200
52457	Chaetodon auriga	200
97146	Chaetodon baronessa	200
97150	Chaetodon citrinellus	200
55534	Chaetodon humeralis	200
97167	Chaetodon kleinii	200
47316	Chaetodon lunula	200
48743	Chaetodon lunulatus	200
97174	Chaetodon melannotus	200
52454	Chaetodon ornatissimus	200
97202	Chaetodon striatus	200
97207	Chaetodon trifascialis	200
48747	Chaetodon vagabundus	200
68028	Chlorurus sordidus	200
187233	Chlorurus spilurus	200
52323	Coris gaimard	200
50968	Coris julis	200
180389	Ctenochaetus striatus	200
49303	Dascyllus trimaculatus	200
49269	Diodon holocanthus	200
52313	Diodon hystrix	200
118669	Diplodus sargus	200
118667	Diplodus vulgaris	200
100036	Epibulus insidiator	200
100099	Epinephelus fasciatus	200
100119	Epinephelus marginatus	200
100990	Forcipiger flavissimus	200
101420	Gerres cinereus	200
52508	Gomphosus varius	200
62600	Haemulon flavolineatum	200
49262	Haemulon sciurus	200
49272	Halichoeres bivittatus	200
49946	Halichoeres garnoti	200
102045	Halichoeres hortulanus	200
102580	Hemigymnus melapterus	200
47235	Holacanthus ciliaris	200
49625	Holocentrus rufus	200
85124	Johnrandallia nigrirostris	200
103901	Labroides dimidiatus	200
577603	Lactophrys triqueter	200
81989	Lutjanus apodus	200
68030	Lutjanus bohar	200
49509	Lutjanus griseus	200
52464	Melichthys niger	200
52411	Melichthys vidua	200
49753	Microspathodon chrysurus	200
117459	Monotaxis grandoculis	200
106222	Mugil cephalus	200
123346	Mulloidichthys flavolineatus	200
118619	Mullus surmuletus	200
52451	Naso lituratus	200
130526	Neoniphon sammara	200
118662	Oblada melanurus	200
47292	Ocyurus chrysurus	200
49378	Ostracion cubicum	200
47527	Ostracion meleagris	200
67658	Paracirrhites forsteri	200
131234	Parupeneus multifasciatus	200
49427	Pomacanthus arcuatus	200
84181	Pomacanthus imperator	200
49257	Pomacanthus paru	200
111389	Pygoplites diacanthus	200
83884	Rhinecanthus aculeatus	200
118663	Sarpa salpa	200
84175	Scarus ghobban	200
49690	Scarus iseri	200
68025	Scarus niger	200
52498	Scarus psittacus	200
83297	Scarus rubroviolaceus	200
112169	Scarus vetula	200
471636	Scolopsis bilineata	200
135220	Scolopsis margaritifera	200
118674	Serranus scriba	200
112858	Sparisoma aurofrenatum	200
112860	Sparisoma cretense	200
112867	Sparisoma viride	200
47251	Sphyraena barracuda	200
52554	Symphodus tinca	200
113735	Taeniura lymma	200
49491	Thalassoma bifasciatum	200
67963	Thalassoma hardwicke	200
49493	Thalassoma lucasanum	200
113980	Thalassoma lunare	200
113981	Thalassoma lutescens	200
50972	Thalassoma pavo	200
52314	Triaenodon obesus	200
83290	Zanclus cornutus	200
49641	Zebrasoma scopas	200
424818	Zebrasoma velifer	200
